property_id	property_label	description
P11861	Clavis Historicorum Antiquitatis Posterioris work ID	work identifier in the Clavis Historicorum Antiquitatis Posterioris database
P11862	orchestration	an enumeration of the instruments used in a musical composition or arrangement described using any system of score notation
P11863	Radiomuseum company ID	identifier of a company in the Radiomuseum database
P11865	BSDB player ID	player ID on BSDB (database on football in Belgium)
P11866	NBC Olympics athlete ID	Identifier for an athlete profile on nbcolympics.com
P11867	Law Insider Legal Dictionary entry	identifier for an entry in Law Insider's Legal Dictionary
P11868	type of document(s) held	used to specify the type of document(s) contained in an archival collection or documentation file
P11869	VMI Historical Rosters Database ID	names of all enrolled students (both graduates and non-graduates) from VMI's opening in 1839 through the World War II era
P11870	The Literary Encyclopedia person ID	identifier for an author in The Literary Encyclopedia
P11871	ComingSoon.it TV series ID	identifier for a TV series on ComingSoon.it
P11872	ComingSoon.it TV program ID	identifier for a TV program on ComingSoon.it
P11873	parliament.bg MP ID	identifier for a Member of Parliament at parliament.bg
P11874	Archivio digitale Fondo Edifici di Culto ID	ID of a record in the digital archive of the Fondo Edifici di Culto of the Italian Ministry of the Interior
P11875	Flashpoint database ID	identifier in the Flashpoint database
P11876	Choisirleservicepublic.gouv.fr organization ID	identifer for an organisation of the governmental plateform Choisirleservicepublic.gouv.fr
P11877	Gameswelt ID	identifier of a video game in the Gameswelt database
P11878	Vélo'v station ID	identifier for a Vélo'v bicycle-sharing station located in Lyon region, France
P11879	Lithuanian protected object ID	numeric code of a natural object in the database of the State Service for Protected Areas of Lithuania
P11880	Saugoma.lt area ID	slug of a natural territory on the site of the State Service for Protected Areas of Lithuania
P11881	Saugoma.lt object ID	slug of a natural object on the website of the State Service for Protected Areas of Lithuania
P11882	Alienor.org ID	numerical identifier for an artwork in the Alienor.org online database
P11883	Musées Occitanie ID	
P11884	Trésors de Nice ID	
P11885	Roy Lichtenstein: A Catalogue Raisonné ID	
P11886	CNR ExploRA author ID	identifier for an author in the open-access repository of the National Research Council (Italy)
P11887	ECLI court code	
P11888	Romanian river code	river codes from Apele Române
P11889	autosuggest value	qualifier for P1963 that suggests which values should be autosuggested to the user that uses the property for items that are instances of the subject
P11890	German University Collections person ID	identifier for persons in "University collections in Germany: Information resource on collections and museums at universities in Germany", a database of persons and literature associated with and items in German university collections
P11891	GamersGlobal series ID	identifier for video game series on the GamersGlobal website
P11892	Threads username	item's username on Threads
P11893	woordenlijst.org ID	identifier of a word in the Dutch Language Union's spelling dictionary at woordenlijst.org
P11895	BSRussia.com team ID	identifier for a sports team in the BSRussia.comdatabase
P11896	Istituto Italiano di Tecnologia author ID	identifier for an author in Istituto Italiano di Tecnologia
P11897	World Geographical Scheme for Recording Plant Distributions ID	identifier for an area used to record plant distributions
P11898	Stage 32 profile ID	identifier for a personal profile on the Stage 32 website
P11899	median household income	median of the household income (cumulated salaries etc.) of a specific place, such as city, state, country
P11900	Livres Hebdo award ID	identifier for an award on the website of Livres Hebdo
P11901	NCI Dictionary of Cancer Terms entry	identifier for an entry in the NCI Dictionary of Cancer Terms
P11902	NCI Dictionary of Genetics Terms entry	identifier for an entry in the NCI Dictionary of Genetics Terms
P11903	login URL	URL of a webpage used to log into a service
P11904	registration page URL	URL of a webpage used to sign up for a service
P11905	ifkdb player ID	identifier for a player of IFK Göteborg in the ifkdb database
P11906	Livres Hebdo tag ID	identifier for a tag on the website of Livres Hebdo
P11907	stats.fm album ID	identifier for an album or another type of musical release on stats.fm
P11908	Ligue nationale de rugby ID	identifier for a rugby player on lnr.fr website
P11909	Holarse article ID	identifier of an article in Holarse database
P11910	Musée critique de la Sorbonne ID	identifier for an artwork on the Musée critique de la Sorbonne website
P11911	Spotlight PIN ID	identifier for an actor in the Spotlight database
P11912	myjewishitaly.it ID	identifier on myjewishitaly.it for synagogues, cemeteries, Jewish neighborhoods, etc in Italy.
P11913	Minerba One Data Indonesia ID	identifier for a company by the Indonesian Ministry of Energy and Mineral Resources
P11914	Wikibase World ID	identifier for the corresponding entity in the Wikibase World database
P11915	UIA Open Yearbook organization website ID	identifier for an international non-governmental organization (INGO) or intergovernmental organizations (IGO) on the UIA Open Yearbook org id
P11916	shortcode	string of text replaced by an emoji or other character on a platform (e.g. :heart_eyes:)
P11917	ProQuest publication ID	an identifier for periodicals, academic journals, newspapers and other publications on ProQuest
P11918	Friedländer ID	identifier for paintings in the Friedländer database
P11919	FIGC player ID	player identifier in Italian Football Federation
P11920	hitparade.ch song ID	identifier for single on hitparade.ch music site
P11921	Theapolis theatre ID	identifier for a theatre in Theapolis.de
P11922	verdict	decision made at the end of a trial by the judge or jury
P11923	IbsenStage ID	identifier for events, venues, contributors, organizations and works in the IbsenStage database
P11924	IMDb keyword	IMDb keyword related to movies and television programs
P11925	National Union of Composers of Ukraine person ID	identifier for a composer on the National Union of Composers of Ukraine website
P11926	Encyclopaedia Islamica ID	identifier of an article from the Encyclopaedia Islamica
P11927	Master's degree Mon master ID	identifier for a master's degree on Mon master
P11928	Virksomme ord ID	identifier for an item in the norwegian database for political adresses
P11929	Swetrails route ID	identifier for routes on the hiking website Swetrails
P11930	European Bridge League ID	identifier for a bridge player at the European Bridge League website
P11931	CAMEO Chemicals ID	chemical in the database supplied by National Oceanic and Atmospheric Administration
P11932	The Literary Encyclopedia work ID	identifier for a work in The Literary Encyclopedia
P11933	IMVDb artist numeric ID	numeric identifier for a musical artist on IMVDb
P11934	Team France athlete ID	identifier for an athlete on Team France
P11935	Tolkien Gateway ID	identifier for an article about the universe of Tolkien in the Tolkien Gateway website
P11936	Biblioteca centrale Cappuccini authority ID	numerical identifier for an entity in the catalogue of the Biblioteca centrale Cappuccini
P11937	FSHF player ID	identifier for an association football player on the website of the Albanian Football Association
P11938	Mandarin-Cantonese Comparative Study ID	identifier for a Cantonese word in A Comparative Study of Modern Chinese and Cantonese (現代標準漢語與粵語對照資料庫)
P11939	Internet Broadway Database touring theatre ID	identifier for touring theatres in the Internet Broadway Database
P11940	British Institute at Ankara person ID	identifier for person in the British Institute at Ankara
P11941	British Institute at Ankara place ID	identifier for settlement in the British Institute at Ankara
P11942	Woordenboek der Nederlandsche Taal GTB ID	identifier of an entry in the Woordenboek der Nederlandsche Taal on Geïntegreerde Taalbank
P11943	GSAFD ID	identifier for a genre/form term in GSAFD (Guidelines on Subject Access to Individual Works of Fiction, Drama, etc.)
P11944	USP Libraries Catalogue ID	unique identifier of a work in the University of São Paulo Libraries Catalog
P11945	Nantes Museum of Arts artwork ID	identifier for an artwork on the Nantes Museum of Arts website
P11946	Mythoskop ID	identifier of beings, locations, concepts and sources related to Greek mythology in the web portal Mythoskop
P11947	Lemmy community ID	name of the Lemmy community associated to the subject
P11948	NFSA title ID	identifier for a creative work in the National Film and Sound Archive database
P11949	PesticideInfo chemical ID	chemical in the database supplied by Pesticide Action Network North America
P11950	appears before phonological feature	this lexeme form appears only when another lexeme form with this phonological feature comes after it
P11951	appears after phonological feature	this lexeme form appears only when it comes after another lexeme form with this phonological feature
P11952	appears before lexeme form	this lexeme form appears only when this other specific lexeme form comes after it
P11953	appears after lexeme form	this lexeme form appears only when it comes after this other specific lexeme form
P11954	Unidades de Conservação no Brasil ID	identifier for a preserved area in the Unidades de Conservação website
P11955	UMLS Semantic Network ID	identifier for a concept in the Semantic Network vocabulary of the Unified Medical Language System
P11956	Experimental Factor Ontology ID	identifier for an experimental factor in the Experimental Factor Ontology
P11957	Gottstein code	code representing a variant of the cuneiform sign according to the Gottstein system
P11958	Moroccan geographic code (2015)	Moroccan geographic code used since 2015
P11959	BHL item ID	identifier for an item in the Biodiversity Heritage Library (BHL)
P11960	TVING ID	identifier for a creative work on TVING
P11961	Google Scholar organization ID	numeric identifier for an organisation in Google Scholar
P11962	Rumble channel	Rumble channel of a person or organisation
P11963	GSA person ID	identifier for an athlete at Global Sports Archive
P11964	tournament type	significance or status of a sports competition for a league, tour, association, etc.
P11965	Roku Channel Store ID	identifier for a channel in the Roku Channel Store
P11966	snookerscores.net tournament ID	ID about a specific snooker tournament at the snookerscores.net database
P11967	OlimpBase FIDE ratings ID	Elo rating ID on OlimpBase
P11968	Antenna Structure Registration Number	number issued by the Federal Communications agency to uniquely identify a broadcast antenna structure
P11969	Korean Tour player ID	identifier for a golf player in the Korean Tour database
P11970	Kastelenlexicon ID	identifier for a castle in the Netherlands, maintained by the NKS Kenniscentrum voor Kasteel en Buitenplaats
P11971	NFDI4Culture ID	identifier for all NFDI4Culture resources on the NFDI4Culture Information Portal
P11972	Pouët group ID	identifier for a demo group on Pouët
P11973	Pouët group member ID	identifier for a demo group member on Pouët
P11974	Pouët demo ID	identifier for a demo on Pouët
P11975	Steam curator ID	link to a curator listing and optionally reviewing games on Steam
P11976	Podbay ID	identifier for a podcast on Podbay
P11977	Rostocker Matrikelportal ID	numeric identifier for students of Rostock University (1419 to present) recorded in Rostock Matrikelportal
P11978	Panjab Digital Library ID	identifier for a work archived in the Panjab Digital Library collection
P11979	Diamond Catalogue work ID	identifier for written literary works in the Diamond database
P11980	Diamond Catalogue edition ID	identifier for edition of written literary works in the Diamond database
P11981	Frankfurt University Library Digital Collection ID	identifier of a document or page in the Digital Collection of the University Library in Frankfurt am Main
P11982	Nurnet ID	identifier of a place belonging to the Nuragic civilisation on nurnet.net
P11983	DUMAS thesis ID	thesis submitted for defense in the DUMAS database
P11984	Syok podcast ID	identifier for radio and podcast on Syok
P11985	Austrian Cave Register ID	identifier of a cave in the Austrian Cave Register
P11986	Research.com ID	identifier for a scientist on Research.com
P11987	AFC-Ajax.info player ID	identifier for football player on site AFC-Ajax.info
P11988	wiki.gg article ID	identifier of an article on wiki.gg (format: subdomain:Page_title or subdomain:language-code/Page_title for non-English wiki articles)
P11989	MUDlistings ID	identifier of a MUD in the MUDlistings database
P11990	The Mud Connector ID	identifier of a MUD in The Mud Connector database
P11991	Visiongame.cz game ID	identifier of a video game in the Visiongame.cz database
P11992	Visiongame.cz studio ID	identifier of a video game studio in the Visiongame database
P11993	Databáze her developer ID	identifier of a video game developer in the Databáze her database
P11994	wiki.gg wiki ID	identifier of a wiki on wiki.gg
P11995	Audio+ show ID	identifier for radio and podcast on Audio+
P11996	Cent cols ID	identifier for a pass in the Cent Cols catalog
P11997	Lift Up profile ID	identifier for a weightlifter's Lift Up profile on Chidlovski.com
P11998	Living Music Database composer ID	identifier for a composer in the Living Music Database
P11999	Dictionary of Czech literature after 1945 ID	identifier on slovnikceskeliteratury.cz website
P12000	Biographical Directory of Federal Judges numeric ID	numeric identifier for a judge in the Biographical Directory of Federal Judges
P12001	GamerProfiles game ID	identifier for a video game on the gamerprofiles.com website
P12002	has heir or beneficiary	people or organizations that received, or will receive, (all or part of) the subject's property or title
P12003	ANPI person ID	identifier of a person in the National Association of Italian Partisans (ANPI) web portal
P12004	towing capacity	the maximum sustainable force with which this vehicle can pull or push another object. Alternatively for road- or track-vehicles, the maximum weight of an object on wheels that this vehicle can reliably and safely pull given usual slopes
P12005	Anikore anime ID	identifier for an anime on Anikore site
P12006	learning outcome	specific knowledge, skills, and abilities that students are expected to acquire as a result of participating in a particular education program
P12007	Substack profile ID	identifier for profiles on substack.com
P12008	Artmajeur artist ID	identifier for an artist on the Artmajeur website
P12009	FantLab translator ID	identifier for the translator in FantLab
P12010	wadoku ID	identifier for a lexeme in the wadoku database
P12011	tribe	recognised membership in a society, mainly denoted by shared cultural heritage; for ethnicity use P172
P12012	identifier in a register in Germany	numeric identifier in a register located in Germany
P12013	Demozoo demo ID	identifier for a demo on Demozoo
P12014	Demozoo group member ID	identifier for a demo group member on Demozoo
P12015	animecons.com event ID	identifier of event in the animecons.com database
P12016	Museo Italia ID	identifier for a touristic attraction in Italy on the website museionline.info (or "Museo italia")
P12017	Dans nos cœurs ID	
P12018	Women's World Golf Rankings player ID	identifier in Women's World Golf Rankings
P12019	futzal.rus player ID	identifier for a player at the futzal.rus database
P12020	state of transmission	state in which a work is transmitted or its existence; for the state of its material witnesses, use P5816
P12022	iNaturalist user ID	identifier for a person who contributes to the iNaturalist website
P12023	alyga.lt player ID	identifier for a player at the alyga.lt
P12024	UETK ID	identifier of a waterbody in the Lithuanian cadastre
P12025	Windows Package Manager Community package ID	identifier of the package in the Windows Package Manager repository
P12026	SEVIS school ID	identifier of an school in Student and Exchange Visitor Information System
P12027	describes actor of	predicate sense whose actor (an agent or a cause—basically the instigator of an action) is denoted by this sense
P12028	describes undergoer of	predicate sense whose undergoer (a patient, a theme, or a recipient—basically a non-instigator of an action) is denoted by this sense
P12029	WikiChip article ID	identifier of page in WikiChip website
P12030	Mageia package	identifier of the package in the Mageia database
P12031	RBC person ID	identifier of personality page on the RBC website
P12032	Ordbok över Finlands svenska folkmål ID	identifier for Swedish words in wordlist of Finland Swedish dialects published by Institute for the Languages of Finland
P12033	France 3 Régions journalist ID	identifier for a journalist on the website France 3 Régions
P12034	Médiathèque Numérique CVS ID	identifier on a creative work on the Médiathèque Numérique CVS platform
P12035	MyShows show ID	identifier of TV show at online social database myshows.me
P12036	NHK News topic ID	identifier for a topic on NHK News Web
P12037	Sitios ID	identifier of a place/venue described in the accessibility database maintained by the Switzerland-based Sitios Association
P12038	Xiaohongshu Profile	identifier for a user on Xiaohongshu
P12039	Fansly ID	identifier for a person on the Fansly website
P12040	J. Paul Getty Museum agent ID	identifier assigned to an agent by the J. Paul Getty Museum, replaces P2432
P12041	type of musical notation	system of musical notation used on a given music source or composition
P12042	Diktyon ID	numeric identifier of a Greek manuscript (Diktyon number) for linking the Pinakes database
P12043	RAWG tag ID	identifier of a tag in the RAWG database
P12044	chronological designation	stated scholarly journal year to which reference is made by: source cited in support of a particular statement may not be the same as the publication date or volume
P12045	Codeberg username	identifier of a person's or organization's username on Codeberg
P12046	ADVN ID	identifier in the authority database of ADVN
P12047	MiMoText ID	identifier for an item in the Mining and Modeling Text knowledge graph on French novels 1751-1800
P12048	BookBrainz series ID	identifier of the book series in the BookBrainz database
P12049	National Register of Monumental Trees ID	identifier in the registry of monumental trees in the Netherlands
P12050	demo of	video game or software that this trial version is based on
P12051	National Library of Albania ID	identifier for the book in the National Library of Albania
P12052	AARoads Wiki article ID	numeric identifier of an article on the AARoads Wiki
P12053	BAN ID	identifier for a place on the BAN
P12054	Metacritic game ID	identifier of a video game in the Metacritic database
P12055	Dicionário Aberto ID	identifier for entries on Dicionário Aberto
P12056	Online Etymology Dictionary ID	ID of a entry in Online Etymology Dictionary (with URI fragment)
P12057	World Auchenorrhyncha Database ID	identifier for a taxon in the World Auchenorrhyncha Database (Hoppers Species File)
P12058	Gematsu game ID	identifier of a video game in Gematsu database
P12059	Encyclociné ID	numeric identifier for a movie on Encyclociné.com
P12060	DBIL ID	identifier for the Latin American Left Biographic Dictionary
P12061	Pinakes country ID	numeric identifier for a country in the Pinakes database
P12062	Pinakes city ID	numeric identifier for a city in the Pinakes database
P12063	Pinakes institution ID	numeric identifier for an institution in the Pinakes database
P12064	Pinakes fonds ID	numeric identifier for an archival fonds in the Pinakes database
P12065	Museum of Fine Arts, Bordeaux object ID	identifier for an artwork on the Museum of Fine Arts, Bordeaux website
P12066	Aparat channel ID	ID of the Aparat channel of a person or organisation
P12067	FaroeSoccer referee ID	identifier for an association football referee in the FaroeSoccer database
P12068	Matilda paper ID	identifier for a paper in Matilda
P12069	Sessionize speaker ID	identifier of the person's speaker profile on Sessionize
P12070	Minerals.net mineral and gemstone ID	identifier for a mineral or gemstone on Minerals.net
P12071	MUSE book ID	numeric identifier of an academic book in Project MUSE
P12072	Game Jolt ID	identifier of a video game in the Game Jolt database
P12073	Société de l'histoire du protestantisme français ID	identifier in the Société de l'histoire du protestantisme français database
P12074	ProductReview ID	identifier of a product or brand on the ProductReview.com.au website
P12075	Acclaimed Music album ID	identifier for album entries that links to the website Acclaimed Music
P12076	Nordic Women in Film-ID	identifier in the Nordic Women in Film database
P12077	SlackBuilds package	identifier for software package in the SlackBuilds database
P12078	Metacritic numeric game ID	numeric identifier of a video game in the Metacritic online database; to be used as a qualifier for the main property "Metacritic game ID (P12054)"
P12079	Metacritic publication ID	identifier of a gaming or any other media publication in the Metacritic database
P12080	Metacritic company ID	identifier of a company in the Metacritic database
P12081	WHO Aware Classification	antibiotic classification according to the World Health Organization
P12082	StopGame series ID	identifier of a video game series in the StopGame database
P12083	Steam Workshop mod ID	identifier for a mod on the Steam Workshop
P12084	California State Park ID	identifier for a California state park from the California Department of Parks and Recreation
P12085	Find my School ID	unique identifier of a public school in Victoria, Australia used on the Find my School website
P12086	WikiKids ID	identifier of the article on WikiKids
P12087	Swiss Basketball League player ID	identifier for a basketball player on the Swiss Basketball League's official website (swiss.basketball)
P12088	Open Library publisher ID	identifier for a publisher in OpenLibrary.org
P12089	self-identified name	name by which a group of humans refers to itself (endonym)
P12090	non-self-identified name	name used to identify a group of humans as opposed to their self-determination
P12091	DBpia article ID	identifier for an article in the DBpia database provided by Nurimedia
P12092	Gematsu company ID	identifier of a company in the Gematsu database
P12093	Valve Developer Community article ID	identifier of an article on Valve Developer Community
P12094	DfE group UID	unique identifier of the school group used by the UK government
P12095	fonds	part of an archival collection which an item belongs to
P12096	Kinobox film ID	identifier for a film on the Kinobox.cz website
P12098	Kinobox person ID	identifier for a person on the Kinobox.cz website
P12099	parent form of an active substance	parent form of a chemical entity (e.g. a salt) used as an active substance in pharmaceutical products
P12100	FloraVeg.EU taxon ID	identifier for a plant taxon in the FloraVeg.EU online database
P12101	DBpia author ID	identifier for an author in the DBpia database provided by Nurimedia
P12102	Mod DB company ID	identifier of a company in the Mod DB database
P12103	GameBrew ID	identifier for homebrew video games, software and emulators on GameBrew
P12104	Royal Irish Academy ID	identifier of a person on the Royal Irish Academy's official website (ria.ie)
P12105	Red List of South African Plants conservation status	conservation status of endemic South African plants assigned by the South African National Biodiversity Institute
P12106	RKDexcerpts ID	record for a note (on index card) in Hofstede de Groot archives held by the RKD-Netherlands Institute for Art History in the Hague
P12107	ELSST Thesaurus ID (Version 4 - 2023)	identifier for a term in the ELSST (European Language Social Science) Thesaurus (Version 4 - 2023)
P12108	LPGA of Japan Tour player ID	identifier for a golf player in the JLPSA database
P12109	Catenae Catalogue ID	numeric ID of a manuscript in the Catenae Catalogue
P12110	Parpulov group	class of similar manuscripts with Catenae as assigned by Georgi Parpulov
P12111	IGI Global author ID	identifier for an author on the IGI Global website
P12112	Pandit Project work ID	identifier for an Indic textual work in the Pandit Project database
P12113	Vascular Plants of Iowa species ID	identifier for a plant species in The Vascular Plants of Iowa website
P12114	Flora of New Jersey Project atlas ID	identifier for a plant species in the Flora of New Jersey Project atlas
P12115	GNU Savannah project ID	identifier of a project in the GNU Savannah database
P12116	Rahlfs number	canonical number of a Septuagint manuscript according to Alfred Rahlfs's catalogue
P12117	Illinois State Parks ID	identifier for an Illinois state park on the State Parks & Outdoor Recreation website
P12118	Minnesota State Forests ID	identifier for a Minnesota state forest on the Minnesota State Forests website
P12119	Minnesota State Parks and Recreation Areas ID	identifier for a Minnesota state park on the Minnesota State Parks and Recreation Areas website
P12120	Flickr photo ID	persistent identifier for images on Flickr
P12121	IBP 6-letter bird species alpha code	standardized six-letter alphabetic code for bird species by the Institute for Bird Populations
P12122	ManyVids ID	identifier for a person's store on the ManyVids website
P12123	North Rhine-Westphalian school ID	6-digit number used by the Ministry of Innovation, Science and Research of North Rhine-Westphalia to identify schools
P12124	Repairs ID	identifier of a former French slave owner on Repairs
P12125	Playdate Catalog ID	identifier of a video game in the Playdate Catalog
P12126	HBL topic ID	topic ID for the Finnish Swedish newspaper Hufvudstadsbladet
P12127	Art Platform Japan ID	identifier for an artwork, artist, or institution on Art Platform Japan
P12128	Archivio storico artisti lucchesi ID	identifier of an artist in the Archivio storico artisti lucchesi, published by the Fondazione Ragghianti on the website artistilucchesi.fondazioneragghianti.it
P12129	Encyklopedia Teatru Polskiego author ID	identifier of an author in the Polish Theater Encyclopedia
P12130	Aves de Chile ID	identifier for a bird species in the Aves de Chile database
P12131	cagb manuscript ID	identifier for a manuscript in the cagb digital database (Commentaria in Aristotelem Graeca et Byzantina)
P12132	stated in source according to	to be used together with P248 if the statement is taken from an aggregator rather than directly from the source
P12133	Italian Paralympic Committee athlete ID	identifier for an athlete (sportsperson) at ComitatoParalimpico.it, the Italian Paralympic Committee (Comitato Italiano Paralimpico) website
P12134	old-games.org ID	identifier for a computer game on the website old-games.org
P12135	Carte d'autore online ID	identifier for a person or organization in the authority file of the web portal Carte d'autore online
P12136	Indiana Plant Atlas ID	identifier for a plant species, subspecies, or variety in the Indiana Plant Atlas
P12137	Linked Open Data Comune Firenze ID	identifier for an entity in the Linked Open Data platform of the municipality of Florence (Italy)
P12138	Tennessee-Kentucky Plant Atlas ID	identifier for a plant species, subspecies, or variety in the Tennessee-Kentucky Plant Atlas
P12139	Il Sole 24 Ore movie ID	identifier for a movie on cinema.ilsole24ore.com
P12140	Il Sole 24 Ore person ID	identifier for a person on the "Cinema e Film" section of the website of Il Sole 24 Ore (cinema.ilsole24ore.com)
P12141	Fondazione Fiera ID	identifier for a person or organization in the web portal archiviostorico.fondazionefiera.it
P12142	EIDR party ID	identifier for production and distribution companies related to films
P12143	Gaming Wiki Network article ID	identifier of an article on the GWN. Format: wiki:Page_title
P12144	Cultural Heritage Online (Japan) heritage ID	identifier for heritage assets on Cultural Heritage Online
P12145	Cultural Heritage Online (Japan) institution ID	identifier for museums on Cultural Heritage Online
P12146	Playdate community wiki ID	identifier of an article on Playdate community
P12147	Danacode (short)	short version of the Danacode book edition identifier
P12148	Danacode (long)	long version of the Danacode book edition identifier
P12149	archINFORM award ID	
P12150	shukach.com ID	identifier of a place on shukach.com
P12151	BNE periodical SID	SID identifier in the Digital Library of Spanish National Library
P12152	Moviepilot.de person ID	identifier for a person on the online database Moviepilot.de
P12153	FilmAffinity person ID	identifier for a person in the online database FilmAffinity
P12154	Archiefpunt archive ID	identifier for a person or organization in the Archiefpunt database
P12155	Archiefpunt compiler ID	identifier for a person or organization in the Archiefpunt database
P12156	Archiefpunt curator ID	identifier for a person or organization in the Archiefpunt database
P12157	Capitolium Art artist ID	identifier for an artist on the Capitolium Art website
P12158	BioGRID ID	identifier for a gene or publication in the BioGRID database
P12159	la Repubblica TV series ID	identifier for a TV series on Repubblica.it
P12160	CECC Political Prisoner ID	identifier for a person on the CECC Political Prisoner Database website
P12161	One Earth ecoregion ID	identifier for an ecoregion in the One Earth database
P12162	Spectrum Computing ID	identifier in the Spectrum Computing database
P12163	IDVT	identifier of a watercourse in the CEVT database of the Czech Republic
P12164	BISAC Subject Heading	north american categorization identifier for book topics
P12165	Star Citizen Tools Wiki ID	identifier of an article on Star Citizen Tools Wiki
P12166	Gale publication ID	identifier for a publication on the Gale website
P12167	Emerald network site ID	identifier for a protected area in Europe (excluding Natura 2000)
P12168	Torino scale	the Torino scale level for the astronomical object
P12169	Museo Nacional de Arte artist ID	numerical identifier for artists registered in the website of the Museo Nacional de Arte of Mexico City (munal.emuseum.com)
P12170	GeoLOD ID	identifier for a place in Japan
P12171	Catalogo Nazionale Dati ID	identifier for an item in a controlled vocabulary of the Italian Catalogo Nazionale Dati (schema.gov.it)
P12172	Klingon Word Wiki ID	identifier for a lemma in the Klingon Word Wiki
P12173	Newman Numismatics Portal ID	identifier for a person on the Newman Numismatics Portal website
P12174	tribal council number	identifier for a First Nation tribal council in Canada from Crown-Indigenous Relations and Northern Affairs Canada
P12175	EDItEUR Thema ID	identifier for objects in the EDItEUR Thema classification scheme
P12176	Propylaeum-VITAE ID	identifier for a person, place, organization, or congress in the Propylaeum-VITAE database
P12177	Rare Species Guide ID	identifier for an animal or plant species in the Minnesota Department of Natural Resources's Rare Species Guide
P12178	Minnesota Plant List ID	identifier for a plant species or variety in the Minnesota Plant List
P12179	Flora of the Southeastern United States ID	identifier for a plant taxon in the Flora of the Southeastern United States database
P12180	PAEnflowered taxon URL	URL for a plant taxon found in Pennsylvania on the PAEnflowered website
P12181	Digital Atlas of the Virginia Flora ID	identifier for a plant species, subspecies, or variety in the Digital Atlas of the Virginia Flora
P12182	Go Botany taxon ID	identifier for a vascular plant taxon in New England on the Go Botany website
P12183	Search System of Japanese Red Data ID	identifier for species and subspecies of the flora and fauna of Japan in the Search System of Japanese Red Data
P12184	Art Gallery of Ontario object ID	identifier for an object in a collection of the Art Gallery of Ontario in Toronto
P12185	Thesaurus Linguae Aegyptiae object ID	identifier for a text-bearing artefact (textual artefact) in the Thesaurus Linguae Aegyptiae
P12186	Thesaurus Linguae Aegyptiae textual work ID	identifier for an (abstract) text (written work) in the Thesaurus Linguae Aegyptiae
P12187	Thesaurus Linguae Aegyptiae thesaurus ID	identifier for a metadata thesaurus entry in the Thesaurus Linguae Aegyptiae
P12188	Thesaurus Linguae Aegyptiae lemma ID	identifier for a lemma in the Thesaurus Linguae Aegyptiae
P12189	Paradox Wikis article ID	identifier of the entity on Paradoxwikis. Format: subdomain:Page_title
P12190	Coin Hoards of the Roman Empire ID	identifier for a coin hoard
P12191	Alaska Women’s Hall of Fame ID	identifier for a person in the Alaska Women's Hall of Fame
P12192	SWERIK ID	identifier in the SWERIK project about Swedish PM Corpus
P12193	Team Wales athlete ID	identifier for an athlete on the website teamwales.cymru
P12194	WikiIndex ID	identifier in wikiindex
P12195	Theapolis person ID	identifier for a person in Theapolis.de
P12196	TheTVDB movie ID	identifier for a movie at TheTVDB.com
P12197	Shanghai Library surname ID	identifier for surnames in the Shanghai Library Name Authority Database
P12198	Shanghai Library era ID	identifier for eras in the Shanghai Library Open Data Platform
P12199	Shanghai Library organization ID	identifier for organizations in the Shanghai Library Open Data Platform
P12200	Pinakes work ID	identifier for a work in the Pinakes database
P12201	Hugging Face user or organization ID	identifier of user or organization in Hugging Face
P12202	COR.SEM ID	identifier of the Danish Central Word registry
P12203	official wiki URL	URL of the official wiki for the item
P12204	ELMCIP ID	identifier of a creative work, critical writing, databases and archives, event, organization, person, platform/software, publisher, research collection, or teaching resource in the ELMCIP Knowledge Base
P12206	RFI station ID	identifier of an Italian station on the RFI website
P12207	BnF archives and manuscripts ID	identifier for a manuscript in the archives and manuscripts catalogue of the Bibliothèque nationale de France (BnF). Do not include the initial "cc"
P12208	counterexample	qualifier for deprecated P279 statements; example instance or subclass of the item class for which a "subclass of" statement does not hold
P12209	The Plant List ID (Arizona Native Plant Society)	identifier for a native plant species, subspecies, or variety in The Plant List from the Arizona Native Plant Society
P12210	DIMA ID	identifier for a militant anarchist in the Dictionnaire international des militants anarchistes
P12211	Atari-8-bit Forever game ID	identifier of a video game in the Atari-8-bit Forever database
P12212	Museum of Fine Arts of Rennes object ID	identifier for an artwork on the Museum of Fine Arts of Rennes' portal
P12213	FNAC artwork ID	numerical identifier for an artwork on the Fonds national d'art contemporain website
P12214	Akadem person ID	identifier of a person on Akadem
P12215	Game Classification game ID	identifier of a video game in the Game Classification database
P12216	Game Classification machine ID	identifier of a video game platform in the Game Classification database
P12217	Game Classification creation tool ID	identifier of a video game creation tool in the Game Classification database
P12218	TaiCOL ID (new version)	identifier for taxa of the biota of Taiwan in the new version of the Catalogue of Life in Taiwan
P12219	a8.fandal.cz ID	identifier of a video game in the a8.fandal.cz database
P12220	Stadium 64 ID	identifier of a video game in the Stadium 64 database
P12221	battery life	length of time after a full charge that a device can continue to work under normal use before it needs its battery to be recharged
P12222	Filmweb.no film ID	identifier for a film on the Norwegian online database Filmweb
P12223	SixtyFour Originals DataBase game ID	identifier of a video game in the SixtyFour Originals DataBase
P12224	BUGZ ID	identifier for an article in the Bibliography of New Zealand Terrestrial Invertebrates 1775-1993
P12225	WHDLoad database ID	identifier of a video game in the WHDLoad database
P12226	Shanghai Library movie ID	identifier for movies in the Shanghai Library Name Authority Database
P12227	PCSX2 Wiki ID	identifier of an article on PCSX2 Wiki
